"Date","Time","Open","High","Low","Close","Vol","OI","SlowK","SlowD","OverBot","OverSld","UlcerX","SafeLevel"
03/20/2017,22:00,140.40,141.50,140.23,141.46,21542038,0,0.00,0.00,0.00,0.00,0.00,0.00
03/21/2017,22:00,142.11,142.80,139.73,139.84,39529912,0,0.00,0.00,0.00,0.00,0.00,0.00
03/22/2017,22:00,139.85,141.60,139.76,141.42,25860165,0,0.00,0.00,0.00,0.00,0.00,0.00
03/23/2017,22:00,141.26,141.58,140.61,140.92,20346301,0,0.00,0.00,0.00,0.00,0.00,0.00
03/24/2017,22:00,141.50,141.74,140.35,140.64,22395563,0,0.00,0.00,0.00,0.00,0.00,0.00
03/27/2017,22:00,139.39,141.22,138.62,140.88,23575094,0,0.00,0.00,0.00,0.00,0.00,0.00
03/28/2017,22:00,140.91,144.04,140.62,143.80,33374805,0,0.00,0.00,0.00,0.00,0.00,0.00
03/29/2017,22:00,143.68,144.49,143.19,144.12,29189955,0,0.00,0.00,0.00,0.00,0.00,0.00
03/30/2017,22:00,144.19,144.50,143.50,143.93,21207252,0,0.00,0.00,0.00,0.00,0.00,0.00
03/31/2017,22:00,143.72,144.27,143.01,143.66,19661651,0,0.00,0.00,0.00,0.00,0.00,0.00
04/03/2017,22:00,143.71,144.12,143.05,143.70,19985714,0,0.00,0.00,0.00,0.00,0.00,0.00
04/04/2017,22:00,143.25,144.89,143.17,144.77,19891354,0,0.00,0.00,0.00,0.00,0.00,0.00
04/05/2017,22:00,144.63,145.46,143.81,144.02,27717854,0,0.00,0.00,0.00,0.00,0.00,0.00
04/06/2017,22:00,144.29,144.52,143.45,143.66,21149034,0,0.00,0.00,0.00,0.00,0.00,0.00
04/07/2017,22:00,143.73,144.18,143.27,143.34,16672198,0,69.01,69.01,80.00,20.00,0.43,5.00
04/10/2017,22:00,143.60,143.88,142.90,143.17,18933397,0,68.18,68.73,80.00,20.00,0.52,5.00
04/11/2017,22:00,142.94,143.35,140.06,141.63,30379376,0,59.84,65.68,80.00,20.00,0.76,5.00
04/12/2017,22:00,141.60,142.15,141.01,141.80,20350000,0,52.34,60.12,80.00,20.00,0.93,5.00
04/13/2017,22:00,141.91,142.38,141.05,141.05,17822880,0,42.01,51.40,80.00,20.00,1.16,5.00
04/17/2017,22:00,141.19,141.88,140.87,141.83,16582094,0,38.68,44.34,80.00,20.00,1.28,5.00
04/18/2017,22:00,141.41,142.04,141.11,141.20,14697544,0,30.27,36.99,80.00,20.00,1.44,5.00
04/19/2017,22:00,141.88,142.00,140.45,140.68,17328375,0,21.79,30.25,80.00,20.00,1.62,5.00
04/20/2017,22:00,141.22,142.92,141.16,142.44,23319562,0,25.56,25.87,80.00,20.00,1.68,5.00
04/21/2017,22:00,142.44,142.68,141.85,142.27,17320928,0,32.16,26.50,80.00,20.00,1.74,5.00
04/24/2017,22:00,143.50,143.95,143.18,143.64,17134333,0,50.43,36.05,80.00,20.00,1.75,5.00
04/25/2017,22:00,143.91,144.90,143.87,144.53,18871501,0,63.33,48.64,80.00,20.00,1.32,5.00
04/26/2017,22:00,144.47,144.60,143.38,143.68,20041241,0,74.62,62.79,80.00,20.00,1.13,5.00
04/27/2017,22:00,143.92,144.16,143.31,143.79,14246347,0,78.38,72.11,80.00,20.00,0.98,5.00
04/28/2017,22:00,144.09,144.30,143.27,143.65,20860358,0,75.34,76.11,80.00,20.00,0.91,5.00
05/01/2017,22:00,145.10,147.20,144.96,146.58,33602943,0,82.28,78.67,80.00,20.00,0.39,5.00
05/02/2017,22:00,147.54,148.09,146.84,147.51,45352194,0,87.51,81.71,80.00,20.00,0.39,5.00
05/03/2017,22:00,145.59,147.49,144.27,147.06,45697034,0,90.05,86.62,80.00,20.00,0.37,5.00
05/04/2017,22:00,146.52,147.14,145.81,146.53,23371872,0,86.17,87.91,80.00,20.00,0.41,5.00
05/05/2017,22:00,146.76,148.98,146.76,148.96,27327725,0,89.04,88.42,80.00,20.00,0.34,5.00
05/08/2017,22:00,149.03,153.70,149.03,153.01,48752413,0,92.28,89.16,80.00,20.00,0.33,5.00
05/09/2017,22:00,153.87,154.88,153.45,153.99,39130363,0,95.49,92.27,80.00,20.00,0.33,5.00
05/10/2017,22:00,153.63,153.94,152.11,153.26,25805692,0,92.00,93.26,80.00,20.00,0.35,5.00
05/11/2017,22:00,152.67,154.07,152.31,153.95,27255058,0,91.05,92.85,80.00,20.00,0.35,5.00
05/12/2017,22:00,154.70,156.42,154.67,156.10,32527017,0,92.42,91.83,80.00,20.00,0.35,5.00
05/15/2017,22:00,156.01,156.65,155.05,155.70,26009719,0,94.25,92.57,80.00,20.00,0.24,5.00
05/16/2017,22:00,155.94,156.06,154.72,155.47,20048478,0,93.86,93.51,80.00,20.00,0.27,5.00
05/17/2017,22:00,153.95,154.57,149.71,150.25,50767678,0,78.75,88.95,80.00,20.00,1.04,5.00
05/18/2017,22:00,151.27,153.34,151.13,152.54,33568215,0,70.13,80.91,80.00,20.00,1.20,5.00
05/19/2017,22:00,153.38,153.98,152.63,153.06,26960788,0,63.03,70.64,80.00,20.00,1.31,5.00
05/22/2017,22:00,154.00,154.58,152.91,153.99,22966437,0,72.11,68.42,80.00,20.00,1.35,5.00
05/23/2017,22:00,154.90,154.90,153.31,153.80,19918871,0,74.44,69.86,80.00,20.00,1.40,5.00
05/24/2017,22:00,153.84,154.17,152.67,153.34,19219154,0,73.36,73.30,80.00,20.00,1.48,5.00
05/25/2017,22:00,153.73,154.35,153.03,153.87,19235598,0,68.47,72.09,80.00,20.00,1.53,5.00
05/26/2017,22:00,153.82,154.24,153.31,153.61,21927637,0,62.66,68.16,80.00,20.00,1.59,5.00
05/30/2017,22:00,153.42,154.43,153.33,153.67,20126851,0,59.07,63.40,80.00,20.00,1.63,5.00
