"Date","Time","Open","High","Low","Close","Vol","OI","AroonUp","AroonDn","OverBought","OverSold","CCI","OverBot","OverSld"
03/21/2017,22:00,58.41,59.72,58.34,59.44,1782332,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/22/2017,22:00,59.76,60.21,59.52,59.71,1514245,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/23/2017,22:00,59.60,60.28,59.53,59.67,1245475,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/24/2017,22:00,59.58,60.16,59.51,60.01,1310636,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/27/2017,22:00,60.26,60.36,59.29,59.55,1370456,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/28/2017,22:00,59.51,59.73,59.24,59.49,1749675,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/29/2017,22:00,59.43,59.43,58.88,59.07,1453839,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/30/2017,22:00,58.83,58.94,58.37,58.62,1186110,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/31/2017,22:00,58.56,59.09,58.56,58.78,1670736,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/03/2017,22:00,58.76,58.92,58.27,58.89,1205263,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/04/2017,22:00,58.83,59.04,58.56,58.86,2147752,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/05/2017,22:00,58.74,59.48,58.63,59.41,1729246,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/06/2017,22:00,59.22,59.57,58.87,59.54,1714032,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/07/2017,22:00,59.67,59.84,59.34,59.40,1645239,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/10/2017,22:00,59.31,59.39,58.92,59.28,1036410,0,0.00,0.00,0.00,0.00,-17.07,100.00,-100.00
04/11/2017,22:00,59.16,59.36,58.85,59.21,1214913,0,0.00,0.00,0.00,0.00,-20.49,100.00,-100.00
04/12/2017,22:00,59.08,59.91,58.99,59.88,1280363,0,0.00,0.00,0.00,0.00,77.78,100.00,-100.00
04/13/2017,22:00,59.71,59.92,59.30,59.62,1057962,0,0.00,0.00,0.00,0.00,93.00,100.00,-100.00
04/17/2017,22:00,59.78,60.34,59.73,60.29,1513553,0,0.00,0.00,0.00,0.00,182.62,100.00,-100.00
04/18/2017,22:00,60.20,60.50,59.89,60.14,1385727,0,0.00,0.00,0.00,0.00,156.84,100.00,-100.00
04/19/2017,22:00,60.12,60.14,59.33,59.64,1414727,0,0.00,0.00,0.00,0.00,63.40,100.00,-100.00
04/20/2017,22:00,59.58,59.58,59.03,59.44,1125177,0,0.00,0.00,0.00,0.00,-4.60,100.00,-100.00
04/21/2017,22:00,59.45,59.97,59.45,59.80,1286756,0,0.00,0.00,0.00,0.00,58.47,100.00,-100.00
04/24/2017,22:00,60.00,60.19,59.51,60.03,1026113,0,0.00,0.00,0.00,0.00,82.50,100.00,-100.00
04/25/2017,22:00,59.81,60.16,59.65,60.00,1340343,0,0.00,0.00,0.00,0.00,78.88,100.00,-100.00
04/26/2017,22:00,59.95,60.16,59.71,59.74,1105400,0,76.00,36.00,70.00,30.00,53.49,100.00,-100.00
04/27/2017,22:00,59.75,60.30,59.70,59.77,1489466,0,72.00,32.00,70.00,30.00,58.55,100.00,-100.00
04/28/2017,22:00,59.72,59.74,59.18,59.40,2029118,0,68.00,28.00,70.00,30.00,-64.74,100.00,-100.00
05/01/2017,22:00,59.58,59.58,58.94,59.14,861250,0,64.00,24.00,70.00,30.00,-122.17,100.00,-100.00
05/02/2017,22:00,59.28,59.55,58.82,59.22,1161440,0,60.00,20.00,70.00,30.00,-131.55,100.00,-100.00
05/03/2017,22:00,59.14,59.48,59.03,59.11,952020,0,56.00,16.00,70.00,30.00,-108.30,100.00,-100.00
05/04/2017,22:00,58.11,59.52,58.11,59.49,1308714,0,52.00,100.00,70.00,30.00,-118.24,100.00,-100.00
05/05/2017,22:00,59.71,59.89,59.49,59.55,926481,0,48.00,96.00,70.00,30.00,10.18,100.00,-100.00
05/08/2017,22:00,59.68,59.81,59.37,59.76,1133282,0,44.00,92.00,70.00,30.00,21.51,100.00,-100.00
05/09/2017,22:00,59.60,59.82,59.28,59.35,899743,0,40.00,88.00,70.00,30.00,-15.00,100.00,-100.00
05/10/2017,22:00,59.38,59.50,58.97,59.23,1168217,0,36.00,84.00,70.00,30.00,-73.13,100.00,-100.00
05/11/2017,22:00,59.04,59.48,58.87,59.48,1279083,0,32.00,80.00,70.00,30.00,-54.79,100.00,-100.00
05/12/2017,22:00,59.44,59.97,59.44,59.88,805976,0,28.00,76.00,70.00,30.00,69.16,100.00,-100.00
05/15/2017,22:00,59.89,60.20,59.67,60.15,833403,0,24.00,72.00,70.00,30.00,127.01,100.00,-100.00
05/16/2017,22:00,60.15,60.27,59.60,59.63,1076374,0,20.00,68.00,70.00,30.00,85.47,100.00,-100.00
05/17/2017,22:00,59.73,60.45,59.66,60.19,1180229,0,16.00,64.00,70.00,30.00,141.71,100.00,-100.00
05/18/2017,22:00,60.41,60.78,59.85,60.24,1495009,0,100.00,60.00,70.00,30.00,145.82,100.00,-100.00
05/19/2017,22:00,60.17,60.21,59.73,60.11,1683435,0,96.00,56.00,70.00,30.00,79.40,100.00,-100.00
05/22/2017,22:00,60.10,60.84,59.95,60.74,1060024,0,100.00,52.00,70.00,30.00,148.16,100.00,-100.00
05/23/2017,22:00,60.75,61.32,60.73,61.14,2430493,0,100.00,48.00,70.00,30.00,196.27,100.00,-100.00
05/24/2017,22:00,61.28,61.46,61.14,61.41,1023325,0,100.00,44.00,70.00,30.00,191.05,100.00,-100.00
05/25/2017,22:00,61.40,61.94,61.19,61.84,909759,0,100.00,40.00,70.00,30.00,172.01,100.00,-100.00
05/26/2017,22:00,61.34,61.58,61.24,61.40,825893,0,96.00,36.00,70.00,30.00,114.91,100.00,-100.00
05/30/2017,22:00,61.40,61.66,61.30,61.48,908389,0,92.00,32.00,70.00,30.00,100.45,100.00,-100.00
05/31/2017,22:00,61.54,62.19,61.51,62.07,1565156,0,100.00,28.00,70.00,30.00,118.12,100.00,-100.00
06/01/2017,22:00,62.10,62.35,61.81,62.35,1278582,0,100.00,24.00,70.00,30.00,119.32,100.00,-100.00
06/02/2017,22:00,62.66,62.68,61.89,62.37,2205901,0,100.00,20.00,70.00,30.00,115.21,100.00,-100.00
06/05/2017,22:00,62.47,62.47,62.09,62.29,1486604,0,96.00,16.00,70.00,30.00,99.74,100.00,-100.00
06/06/2017,22:00,62.26,62.39,62.08,62.16,1771130,0,92.00,12.00,70.00,30.00,85.96,100.00,-100.00
06/07/2017,22:00,62.11,62.98,62.11,62.58,1744712,0,100.00,8.00,70.00,30.00,107.86,100.00,-100.00
06/08/2017,22:00,62.55,62.55,61.49,62.11,1507061,0,96.00,4.00,70.00,30.00,47.29,100.00,-100.00
06/09/2017,22:00,61.93,62.37,61.63,62.30,1226852,0,92.00,20.00,70.00,30.00,44.02,100.00,-100.00
