"Date","Time","Open","High","Low","Close","Vol","OI","AroonUp","AroonDn","OverBought","OverSold","CCI","OverBot","OverSld"
03/20/2017,22:00,869.48,870.34,864.67,867.91,1542199,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/21/2017,22:00,870.06,873.47,847.69,850.14,2537978,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/22/2017,22:00,849.48,855.35,847.00,849.80,1366749,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/23/2017,22:00,840.44,841.69,833.00,839.65,3287669,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/24/2017,22:00,842.00,844.00,829.10,835.14,2105682,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/27/2017,22:00,828.09,841.38,824.30,838.51,1935211,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/28/2017,22:00,839.69,845.40,832.27,840.63,1519202,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/29/2017,22:00,842.75,851.59,841.38,849.87,1457347,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/30/2017,22:00,851.98,852.00,846.77,849.48,949398,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/31/2017,22:00,846.83,849.56,845.24,847.80,1440982,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/03/2017,22:00,848.75,859.00,847.53,856.75,1969402,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/04/2017,22:00,848.00,853.00,847.51,852.57,1348494,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/05/2017,22:00,854.71,860.59,847.52,848.91,1855153,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/06/2017,22:00,849.50,853.59,844.00,845.10,1533564,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/07/2017,22:00,845.00,845.88,837.30,842.10,1111610,0,0.00,0.00,0.00,0.00,-51.07,100.00,-100.00
04/10/2017,22:00,841.54,846.74,840.79,841.70,1046215,0,0.00,0.00,0.00,0.00,-26.67,100.00,-100.00
04/11/2017,22:00,841.70,844.63,834.60,839.88,974343,0,0.00,0.00,0.00,0.00,-57.97,100.00,-100.00
04/12/2017,22:00,838.46,843.72,837.59,841.46,1135775,0,0.00,0.00,0.00,0.00,-47.34,100.00,-100.00
04/13/2017,22:00,841.04,843.73,837.85,840.18,1073650,0,0.00,0.00,0.00,0.00,-59.22,100.00,-100.00
04/17/2017,22:00,841.38,855.64,841.03,855.13,1049125,0,0.00,0.00,0.00,0.00,66.29,100.00,-100.00
04/18/2017,22:00,852.54,857.39,851.25,853.99,936201,0,0.00,0.00,0.00,0.00,109.27,100.00,-100.00
04/19/2017,22:00,857.39,860.20,853.53,856.51,1080336,0,0.00,0.00,0.00,0.00,122.78,100.00,-100.00
04/20/2017,22:00,859.74,863.93,857.50,860.08,1188843,0,0.00,0.00,0.00,0.00,140.65,100.00,-100.00
04/21/2017,22:00,860.62,862.44,857.73,858.95,1172870,0,0.00,0.00,0.00,0.00,109.46,100.00,-100.00
04/24/2017,22:00,868.44,879.96,866.11,878.93,1696483,0,0.00,0.00,0.00,0.00,212.85,100.00,-100.00
04/25/2017,22:00,882.26,892.25,879.28,888.84,2038032,0,100.00,20.00,70.00,30.00,216.32,100.00,-100.00
04/26/2017,22:00,891.39,892.99,885.15,889.14,1323297,0,100.00,16.00,70.00,30.00,169.12,100.00,-100.00
04/27/2017,22:00,890.00,893.38,887.18,891.44,2342303,0,100.00,12.00,70.00,30.00,137.94,100.00,-100.00
04/28/2017,22:00,927.00,935.90,923.22,924.52,3845857,0,100.00,8.00,70.00,30.00,204.68,100.00,-100.00
05/01/2017,22:00,923.13,935.82,920.80,932.82,2327782,0,96.00,4.00,70.00,30.00,160.10,100.00,-100.00
05/02/2017,22:00,932.00,942.99,931.00,937.09,1751292,0,100.00,4.00,70.00,30.00,143.63,100.00,-100.00
05/03/2017,22:00,936.05,950.20,935.21,948.45,1824759,0,100.00,40.00,70.00,30.00,134.05,100.00,-100.00
05/04/2017,22:00,950.29,959.14,947.37,954.72,1938260,0,100.00,36.00,70.00,30.00,125.00,100.00,-100.00
05/05/2017,22:00,956.72,958.44,948.10,950.28,1615548,0,96.00,32.00,70.00,30.00,100.13,100.00,-100.00
05/08/2017,22:00,947.45,960.99,947.40,958.69,1876690,0,100.00,28.00,70.00,30.00,91.20,100.00,-100.00
05/09/2017,22:00,961.33,962.20,954.40,956.71,1687942,0,100.00,24.00,70.00,30.00,84.23,100.00,-100.00
05/10/2017,22:00,956.22,956.71,949.84,954.84,1145969,0,96.00,20.00,70.00,30.00,69.45,100.00,-100.00
05/11/2017,22:00,951.29,957.99,948.61,955.89,1031093,0,92.00,16.00,70.00,30.00,66.13,100.00,-100.00
05/12/2017,22:00,957.85,957.98,952.06,955.14,1214851,0,88.00,12.00,70.00,30.00,62.69,100.00,-100.00
05/15/2017,22:00,955.29,962.70,952.82,959.22,1337697,0,100.00,8.00,70.00,30.00,67.91,100.00,-100.00
05/16/2017,22:00,963.55,965.90,960.35,964.61,1101544,0,100.00,4.00,70.00,30.00,88.48,100.00,-100.00
05/17/2017,22:00,959.70,960.99,940.06,942.17,2449058,0,96.00,4.00,70.00,30.00,-12.85,100.00,-100.00
05/18/2017,22:00,943.20,954.18,941.27,950.50,1800465,0,92.00,4.00,70.00,30.00,-22.30,100.00,-100.00
05/19/2017,22:00,952.82,959.56,952.00,954.65,1360299,0,88.00,4.00,70.00,30.00,38.00,100.00,-100.00
05/22/2017,22:00,957.00,964.82,956.56,964.07,1387392,0,84.00,4.00,70.00,30.00,130.28,100.00,-100.00
