"Date","Time","Open","High","Low","Close","Vol","OI","UlcerX","SafeLevel"
03/16/2017,22:00,262.40,265.75,259.06,262.05,7132153,0,0.00,0.00
03/17/2017,22:00,264.00,265.33,261.20,261.50,6497496,0,0.00,0.00
03/20/2017,22:00,260.60,264.55,258.82,261.92,3614294,0,0.00,0.00
03/21/2017,22:00,262.83,264.80,250.24,250.68,6908554,0,0.00,0.00
03/22/2017,22:00,251.56,255.07,250.51,255.01,4059297,0,0.00,0.00
03/23/2017,22:00,255.39,257.67,253.30,254.78,3320245,0,0.00,0.00
03/24/2017,22:00,255.70,263.89,255.01,263.16,5647253,0,0.00,0.00
03/27/2017,22:00,260.60,270.57,259.75,270.22,6230795,0,0.00,0.00
03/28/2017,22:00,277.02,280.68,275.00,277.45,7987604,0,0.00,0.00
03/29/2017,22:00,278.34,279.60,275.54,277.38,3676157,0,0.00,0.00
03/30/2017,22:00,278.04,282.00,277.21,277.92,4148426,0,0.00,0.00
03/31/2017,22:00,278.73,279.68,276.32,278.30,3294640,0,0.00,0.00
04/03/2017,22:00,286.90,299.00,284.58,298.52,13888618,0,0.00,0.00
04/04/2017,22:00,296.89,304.81,294.53,303.70,10134556,0,0.00,0.00
04/05/2017,22:00,302.04,304.88,294.20,295.00,7880938,0,1.71,5.00
04/06/2017,22:00,296.88,301.94,294.10,298.70,5520588,0,1.77,5.00
04/07/2017,22:00,297.50,302.69,297.15,302.54,4579613,0,0.89,5.00
04/10/2017,22:00,309.15,313.73,308.71,312.39,7664458,0,0.89,5.00
04/11/2017,22:00,313.38,313.47,305.50,308.71,5724577,0,0.94,5.00
04/12/2017,22:00,306.34,308.45,296.32,296.84,6050682,0,1.63,5.00
04/13/2017,22:00,296.70,307.39,295.30,304.00,9284634,0,1.78,5.00
04/17/2017,22:00,302.70,304.00,298.68,301.44,4138736,0,2.01,5.00
04/18/2017,22:00,299.70,300.84,297.90,300.25,3035698,0,2.27,5.00
04/19/2017,22:00,302.46,306.62,302.11,305.52,3898024,0,2.34,5.00
04/20/2017,22:00,306.51,309.15,300.23,302.51,6149352,0,2.49,5.00
04/21/2017,22:00,302.00,306.40,300.42,305.60,4509756,0,2.56,5.00
04/24/2017,22:00,309.22,310.55,306.02,308.03,5083505,0,2.58,5.00
04/25/2017,22:00,308.00,313.98,305.86,313.79,6737708,0,2.42,5.00
04/26/2017,22:00,312.37,314.50,309.00,310.17,4695044,0,2.44,5.00
04/27/2017,22:00,311.69,313.09,307.50,308.63,3468569,0,2.48,5.00
04/28/2017,22:00,309.83,314.80,308.00,314.07,4505478,0,2.48,5.00
05/01/2017,22:00,314.88,327.25,314.81,322.83,8829565,0,1.70,5.00
05/02/2017,22:00,324.00,327.66,316.56,318.89,5382777,0,0.79,5.00
05/03/2017,22:00,317.67,321.53,310.45,311.02,7133365,0,1.26,5.00
05/04/2017,22:00,307.44,307.77,290.76,295.46,14152008,0,2.56,5.00
05/05/2017,22:00,298.00,308.55,296.80,308.35,8177347,0,2.83,5.00
05/08/2017,22:00,310.90,313.79,305.82,307.19,7006471,0,3.11,5.00
05/09/2017,22:00,309.38,321.99,309.10,321.26,9676537,0,3.10,5.00
05/10/2017,22:00,321.56,325.50,318.12,325.22,5741607,0,3.10,5.00
05/11/2017,22:00,323.40,326.00,319.60,323.10,4753819,0,3.11,5.00
05/12/2017,22:00,325.48,327.00,321.53,324.81,4121612,0,3.11,5.00
05/15/2017,22:00,318.38,320.20,312.53,315.88,7622004,0,3.16,5.00
05/16/2017,22:00,317.59,320.06,315.14,317.01,4152484,0,3.23,5.00
05/17/2017,22:00,314.39,314.63,305.50,306.11,6711940,0,3.59,5.00
05/18/2017,22:00,307.00,313.94,305.31,313.06,5653801,0,3.72,5.00
